Flight Number            Source                   Destination              Start time (PST)         Duration (min)           Price ($)
745                      SMF                      MAA                      1700                     121                      245.43
821                      KLM                      CVV                      1220                     56                       74.89
121                      RSD                      QWQ                      0410                     232                      421.11
541                      RQQ                      SPW                      0210                     156                      131.21
623                      SDW                      RSW                      1800                     412                      740.13
912                      KVM                      FGP                      2130                     320                      550.32
723                      PWQ                      SWQ                      1410                     175                      210.23
111                      STR                      LKS                      1420                     140                      220.12
345                      WWW                      POR                      1910                     25                       85.21
777                      MPS                      FRT                      1020                     75                       93.91
062                      EWQ                      QWT                      1150                     220                      320.11
325                      PQS                      WSF                      1810                     210                      300.98
963                      SAW                      MPQ                      0650                     130                      250.59
1024                     MOT                      OST                      0410                     240                      400.78
5812                     LKA                      FGL                      0050                     51                       131.21
